,0,1
0,(2.86401191261e-05+0j),(2130150000+0j)
1,(3.5544126149e-05+0j),(2130152441.41+0j)
2,(1.53530108946e-05+0j),(2130154882.81+0j)
3,(1.9296156097e-05+0j),(2130157324.22+0j)
4,(2.14414176298e-05+0j),(2130159765.62+0j)
5,(2.62451121671e-05+0j),(2130162207.03+0j)
6,(1.81612085726e-05+0j),(2130164648.44+0j)
7,(3.56542877853e-05+0j),(2130167089.84+0j)
8,(2.39593209699e-05+0j),(2130169531.25+0j)
9,(2.54931219388e-05+0j),(2130171972.66+0j)
10,(4.65640769107e-05+0j),(2130174414.06+0j)
11,(2.35638162849e-05+0j),(2130176855.47+0j)
12,(2.34925682889e-05+0j),(2130179296.88+0j)
13,(2.84740963252e-05+0j),(2130181738.28+0j)
14,(2.17049710045e-05+0j),(2130184179.69+0j)
15,(1.69334834936e-05+0j),(2130186621.09+0j)
16,(3.01693162328e-05+0j),(2130189062.5+0j)
17,(1.69408904185e-05+0j),(2130191503.91+0j)
18,(2.55843788182e-05+0j),(2130193945.31+0j)
19,(3.33922835125e-05+0j),(2130196386.72+0j)
20,(1.8280265067e-05+0j),(2130198828.12+0j)
21,(3.37815872626e-05+0j),(2130201269.53+0j)
22,(3.92520923924e-05+0j),(2130203710.94+0j)
23,(2.28726366913e-05+0j),(2130206152.34+0j)
24,(4.16857255914e-05+0j),(2130208593.75+0j)
25,(3.1362491427e-05+0j),(2130211035.16+0j)
26,(2.66103252216e-05+0j),(2130213476.56+0j)
27,(3.42306375387e-05+0j),(2130215917.97+0j)
28,(2.67315717792e-05+0j),(2130218359.38+0j)
29,(2.4878023396e-05+0j),(2130220800.78+0j)
30,(1.97885019588e-05+0j),(2130223242.19+0j)
31,(2.18403947656e-05+0j),(2130225683.59+0j)
32,(3.71328787878e-05+0j),(2130228125+0j)
33,(1.63710792549e-05+0j),(2130230566.41+0j)
34,(1.97891931748e-05+0j),(2130233007.81+0j)
35,(3.3405594877e-05+0j),(2130235449.22+0j)
36,(1.91641975107e-05+0j),(2130237890.62+0j)
37,(3.05241774186e-05+0j),(2130240332.03+0j)
38,(3.73130169464e-05+0j),(2130242773.44+0j)
39,(1.76455450855e-05+0j),(2130245214.84+0j)
40,(5.61021915928e-05+0j),(2130247656.25+0j)
41,(1.48251119754e-05+0j),(2130250097.66+0j)
42,(2.1299603759e-05+0j),(2130252539.06+0j)
43,(1.93314135686e-05+0j),(2130254980.47+0j)
44,(3.20665676554e-05+0j),(2130257421.88+0j)
45,(2.95683912555e-05+0j),(2130259863.28+0j)
46,(2.0527133529e-05+0j),(2130262304.69+0j)
47,(3.90239474655e-05+0j),(2130264746.09+0j)
48,(2.75273105217e-05+0j),(2130267187.5+0j)
49,(3.19419632433e-05+0j),(2130269628.91+0j)
