,0,1
0,(3.41921950167e-05+0j),(2120650000+0j)
1,(1.93197465705e-05+0j),(2120652441.41+0j)
2,(3.35556942446e-05+0j),(2120654882.81+0j)
3,(3.39661928592e-05+0j),(2120657324.22+0j)
4,(1.8904933313e-05+0j),(2120659765.62+0j)
5,(1.90317223314e-05+0j),(2120662207.03+0j)
6,(4.47809470643e-05+0j),(2120664648.44+0j)
7,(2.59415428445e-05+0j),(2120667089.84+0j)
8,(3.6602410546e-05+0j),(2120669531.25+0j)
9,(1.72003001353e-05+0j),(2120671972.66+0j)
10,(2.79221421806e-05+0j),(2120674414.06+0j)
11,(4.02056612074e-05+0j),(2120676855.47+0j)
12,(2.58645268332e-05+0j),(2120679296.88+0j)
13,(3.23378408211e-05+0j),(2120681738.28+0j)
14,(3.48709036189e-05+0j),(2120684179.69+0j)
15,(2.73363057204e-05+0j),(2120686621.09+0j)
16,(1.56197384058e-05+0j),(2120689062.5+0j)
17,(5.36253101018e-05+0j),(2120691503.91+0j)
18,(3.09508031933e-05+0j),(2120693945.31+0j)
19,(2.87001039396e-05+0j),(2120696386.72+0j)
20,(2.84070920316e-05+0j),(2120698828.12+0j)
21,(4.04902129958e-05+0j),(2120701269.53+0j)
22,(1.78652699105e-05+0j),(2120703710.94+0j)
23,(3.20748295053e-05+0j),(2120706152.34+0j)
24,(2.1209996703e-05+0j),(2120708593.75+0j)
25,(1.60910421982e-05+0j),(2120711035.16+0j)
26,(5.19686327607e-05+0j),(2120713476.56+0j)
27,(5.17987464264e-05+0j),(2120715917.97+0j)
28,(2.41254820139e-05+0j),(2120718359.38+0j)
29,(3.37526362273e-05+0j),(2120720800.78+0j)
30,(2.0473906261e-05+0j),(2120723242.19+0j)
31,(1.79705621122e-05+0j),(2120725683.59+0j)
32,(4.38598581241e-05+0j),(2120728125+0j)
33,(3.0299395803e-05+0j),(2120730566.41+0j)
34,(3.6733916204e-05+0j),(2120733007.81+0j)
35,(2.00390113605e-05+0j),(2120735449.22+0j)
36,(2.60244396486e-05+0j),(2120737890.62+0j)
37,(2.99379262287e-05+0j),(2120740332.03+0j)
38,(1.71857354871e-05+0j),(2120742773.44+0j)
39,(2.11963779293e-05+0j),(2120745214.84+0j)
40,(2.42892856477e-05+0j),(2120747656.25+0j)
41,(5.97258513153e-05+0j),(2120750097.66+0j)
42,(2.46571653406e-05+0j),(2120752539.06+0j)
43,(4.06952894991e-05+0j),(2120754980.47+0j)
44,(4.35039910371e-05+0j),(2120757421.88+0j)
45,(2.70097880275e-05+0j),(2120759863.28+0j)
46,(2.31769081438e-05+0j),(2120762304.69+0j)
47,(3.45378757629e-05+0j),(2120764746.09+0j)
48,(2.06204349524e-05+0j),(2120767187.5+0j)
49,(3.38768586516e-05+0j),(2120769628.91+0j)
50,(3.22071791743e-05+0j),(2120772070.31+0j)
51,(3.01537165797e-05+0j),(2120774511.72+0j)
52,(3.39489961334e-05+0j),(2120776953.12+0j)
53,(3.26632616634e-05+0j),(2120779394.53+0j)
54,(4.17804367316e-05+0j),(2120781835.94+0j)
55,(3.12306729029e-05+0j),(2120784277.34+0j)
56,(2.94468445645e-05+0j),(2120786718.75+0j)
57,(2.57140000031e-05+0j),(2120789160.16+0j)
58,(2.50675784628e-05+0j),(2120791601.56+0j)
59,(3.61172787962e-05+0j),(2120794042.97+0j)
60,(2.71124899882e-05+0j),(2120796484.38+0j)
61,(3.16524055961e-05+0j),(2120798925.78+0j)
62,(2.57984211203e-05+0j),(2120801367.19+0j)
63,(1.42445060192e-05+0j),(2120803808.59+0j)
64,(2.45487390202e-05+0j),(2120806250+0j)
65,(3.63384860975e-05+0j),(2120808691.41+0j)
66,(1.55389534484e-05+0j),(2120811132.81+0j)
67,(3.691414895e-05+0j),(2120813574.22+0j)
68,(5.37293781235e-05+0j),(2120816015.62+0j)
69,(2.77209110209e-05+0j),(2120818457.03+0j)
70,(6.02535765211e-05+0j),(2120820898.44+0j)
71,(3.34547185048e-05+0j),(2120823339.84+0j)
72,(4.28908715548e-05+0j),(2120825781.25+0j)
73,(2.89452946163e-05+0j),(2120828222.66+0j)
74,(3.99198906962e-05+0j),(2120830664.06+0j)
75,(2.4470162316e-05+0j),(2120833105.47+0j)
76,(4.25144535257e-05+0j),(2120835546.88+0j)
77,(3.75742783945e-05+0j),(2120837988.28+0j)
78,(3.87062500522e-05+0j),(2120840429.69+0j)
79,(3.75338204321e-05+0j),(2120842871.09+0j)
80,(2.78441111732e-05+0j),(2120845312.5+0j)
81,(3.40625047102e-05+0j),(2120847753.91+0j)
82,(2.72020060947e-05+0j),(2120850195.31+0j)
83,(3.97850490117e-05+0j),(2120852636.72+0j)
84,(2.64005921053e-05+0j),(2120855078.12+0j)
85,(1.99521455215e-05+0j),(2120857519.53+0j)
86,(1.9061324565e-05+0j),(2120859960.94+0j)
87,(4.32838169218e-05+0j),(2120862402.34+0j)
88,(1.8899094357e-05+0j),(2120864843.75+0j)
89,(2.85046407953e-05+0j),(2120867285.16+0j)
90,(5.08747943968e-05+0j),(2120869726.56+0j)
91,(4.87737452204e-05+0j),(2120872167.97+0j)
92,(3.10969116981e-05+0j),(2120874609.38+0j)
93,(2.48045871558e-05+0j),(2120877050.78+0j)
94,(2.89323270408e-05+0j),(2120879492.19+0j)
95,(6.18414196651e-05+0j),(2120881933.59+0j)
96,(3.94374728785e-05+0j),(2120884375+0j)
97,(2.72947545454e-05+0j),(2120886816.41+0j)
98,(2.77328545053e-05+0j),(2120889257.81+0j)
99,(3.99096679757e-05+0j),(2120891699.22+0j)
100,(3.5961260437e-05+0j),(2120894140.62+0j)
101,(2.79602172668e-05+0j),(2120896582.03+0j)
102,(4.87893848913e-05+0j),(2120899023.44+0j)
103,(1.78112786671e-05+0j),(2120901464.84+0j)
104,(3.38077225024e-05+0j),(2120903906.25+0j)
105,(1.99230162252e-05+0j),(2120906347.66+0j)
106,(2.21260816033e-05+0j),(2120908789.06+0j)
107,(1.34170777528e-05+0j),(2120911230.47+0j)
108,(3.04416262225e-05+0j),(2120913671.88+0j)
109,(4.57123278466e-05+0j),(2120916113.28+0j)
110,(5.30146207893e-05+0j),(2120918554.69+0j)
111,(3.28391906805e-05+0j),(2120920996.09+0j)
112,(5.45274706383e-05+0j),(2120923437.5+0j)
113,(3.24845241266e-05+0j),(2120925878.91+0j)
114,(2.54353544733e-05+0j),(2120928320.31+0j)
115,(3.70707966795e-05+0j),(2120930761.72+0j)
116,(1.58856691996e-05+0j),(2120933203.12+0j)
