,0,1
0,(7.04316917108e-05+0j),(1804150000+0j)
1,(2.58511117863e-05+0j),(1804152441.41+0j)
2,(3.15631477861e-05+0j),(1804154882.81+0j)
3,(5.87077192904e-05+0j),(1804157324.22+0j)
4,(4.99691304867e-05+0j),(1804159765.62+0j)
5,(4.57136775367e-05+0j),(1804162207.03+0j)
6,(2.94859746646e-05+0j),(1804164648.44+0j)
7,(5.24515926372e-05+0j),(1804167089.84+0j)
8,(6.48198983981e-05+0j),(1804169531.25+0j)
9,(3.23976892105e-05+0j),(1804171972.66+0j)
10,(6.98309304425e-05+0j),(1804174414.06+0j)
11,(8.05495437817e-05+0j),(1804176855.47+0j)
12,(6.04969609412e-05+0j),(1804179296.88+0j)
13,(5.76875136176e-05+0j),(1804181738.28+0j)
14,(4.24818754254e-05+0j),(1804184179.69+0j)
15,(4.8907022574e-05+0j),(1804186621.09+0j)
16,(4.35465226474e-05+0j),(1804189062.5+0j)
17,(5.31541300006e-05+0j),(1804191503.91+0j)
18,(5.2028321079e-05+0j),(1804193945.31+0j)
19,(4.66204437544e-05+0j),(1804196386.72+0j)
20,(6.32513692835e-05+0j),(1804198828.12+0j)
21,(4.31221633335e-05+0j),(1804201269.53+0j)
22,(3.3934473322e-05+0j),(1804203710.94+0j)
23,(3.47966451955e-05+0j),(1804206152.34+0j)
24,(7.96164458734e-05+0j),(1804208593.75+0j)
25,(9.08780712052e-05+0j),(1804211035.16+0j)
26,(3.05203611788e-05+0j),(1804213476.56+0j)
27,(4.88735131512e-05+0j),(1804215917.97+0j)
28,(6.48021887173e-05+0j),(1804218359.38+0j)
29,(4.92071812914e-05+0j),(1804220800.78+0j)
30,(3.30961011059e-05+0j),(1804223242.19+0j)
31,(5.15834362886e-05+0j),(1804225683.59+0j)
32,(4.92704602948e-05+0j),(1804228125+0j)
33,(6.78440410411e-05+0j),(1804230566.41+0j)
34,(5.99013692408e-05+0j),(1804233007.81+0j)
35,(4.41483280156e-05+0j),(1804235449.22+0j)
36,(3.35750664817e-05+0j),(1804237890.62+0j)
37,(7.62818017392e-05+0j),(1804240332.03+0j)
38,(5.0590842875e-05+0j),(1804242773.44+0j)
39,(6.27896297374e-05+0j),(1804245214.84+0j)
40,(4.80856979266e-05+0j),(1804247656.25+0j)
41,(3.81427344109e-05+0j),(1804250097.66+0j)
42,(3.04933892039e-05+0j),(1804252539.06+0j)
43,(3.76767529815e-05+0j),(1804254980.47+0j)
44,(4.70900304208e-05+0j),(1804257421.88+0j)
45,(3.51399503415e-05+0j),(1804259863.28+0j)
46,(4.33096211054e-05+0j),(1804262304.69+0j)
47,(6.30639115116e-05+0j),(1804264746.09+0j)
48,(6.5289576014e-05+0j),(1804267187.5+0j)
49,(4.27289996878e-05+0j),(1804269628.91+0j)
50,(9.10186645342e-05+0j),(1804272070.31+0j)
51,(3.713730257e-05+0j),(1804274511.72+0j)
52,(4.50090774393e-05+0j),(1804276953.12+0j)
53,(4.28605708294e-05+0j),(1804279394.53+0j)
54,(3.89351698686e-05+0j),(1804281835.94+0j)
55,(5.31025580131e-05+0j),(1804284277.34+0j)
56,(4.71942730655e-05+0j),(1804286718.75+0j)
57,(3.90228851757e-05+0j),(1804289160.16+0j)
58,(3.59572368325e-05+0j),(1804291601.56+0j)
59,(4.78453766846e-05+0j),(1804294042.97+0j)
60,(3.58740144293e-05+0j),(1804296484.38+0j)
61,(3.87205582228e-05+0j),(1804298925.78+0j)
62,(4.97363289469e-05+0j),(1804301367.19+0j)
63,(5.06956603203e-05+0j),(1804303808.59+0j)
64,(4.23939309258e-05+0j),(1804306250+0j)
65,(5.08214106958e-05+0j),(1804308691.41+0j)
66,(4.4891708967e-05+0j),(1804311132.81+0j)
67,(2.1602409106e-05+0j),(1804313574.22+0j)
68,(2.49743952736e-05+0j),(1804316015.62+0j)
69,(4.40696676378e-05+0j),(1804318457.03+0j)
70,(4.79274749523e-05+0j),(1804320898.44+0j)
71,(6.88593863742e-05+0j),(1804323339.84+0j)
72,(5.09299570695e-05+0j),(1804325781.25+0j)
73,(4.61364797957e-05+0j),(1804328222.66+0j)
74,(4.73007676192e-05+0j),(1804330664.06+0j)
75,(4.25190701208e-05+0j),(1804333105.47+0j)
76,(0.000100043398561+0j),(1804335546.88+0j)
77,(5.0393249694e-05+0j),(1804337988.28+0j)
78,(7.33065098757e-05+0j),(1804340429.69+0j)
79,(5.89768533246e-05+0j),(1804342871.09+0j)
80,(4.06530234613e-05+0j),(1804345312.5+0j)
81,(4.51506166428e-05+0j),(1804347753.91+0j)
82,(4.11618020735e-05+0j),(1804350195.31+0j)
83,(4.24919708166e-05+0j),(1804352636.72+0j)
84,(5.43425958313e-05+0j),(1804355078.12+0j)
85,(4.22485391027e-05+0j),(1804357519.53+0j)
