,0,1
0,(0.00070940493606+0j),(137650000+0j)
1,(0.000635619275272+0j),(137652441.406+0j)
2,(0.000366197578842+0j),(137654882.812+0j)
3,(0.000638599740341+0j),(137657324.219+0j)
4,(0.000516012776643+0j),(137659765.625+0j)
5,(0.000262774672592+0j),(137662207.031+0j)
6,(0.000618701684289+0j),(137664648.438+0j)
7,(0.00057747552637+0j),(137667089.844+0j)
8,(0.000449778483016+0j),(137669531.25+0j)
9,(0.00028009378002+0j),(137671972.656+0j)
10,(0.000590670621023+0j),(137674414.062+0j)
11,(0.000574968755245+0j),(137676855.469+0j)
12,(0.000735269801226+0j),(137679296.875+0j)
13,(0.000314260541927+0j),(137681738.281+0j)
14,(0.000430920830695+0j),(137684179.688+0j)
15,(0.000736333313398+0j),(137686621.094+0j)
16,(0.000856784346979+0j),(137689062.5+0j)
17,(0.000443292519776+0j),(137691503.906+0j)
18,(0.000278673949651+0j),(137693945.312+0j)
19,(0.000484894000692+0j),(137696386.719+0j)
20,(0.000577749626245+0j),(137698828.125+0j)
21,(0.000772654486354+0j),(137701269.531+0j)
22,(0.00056721403962+0j),(137703710.938+0j)
23,(0.000646631058771+0j),(137706152.344+0j)
24,(0.000224454895942+0j),(137708593.75+0j)
25,(0.000554786005523+0j),(137711035.156+0j)
26,(0.000632322684396+0j),(137713476.562+0j)
27,(0.000716325826943+0j),(137715917.969+0j)
28,(0.000699058815371+0j),(137718359.375+0j)
29,(0.000717245973647+0j),(137720800.781+0j)
30,(0.000290479685646+0j),(137723242.188+0j)
31,(0.000484323361889+0j),(137725683.594+0j)
32,(0.000320225139149+0j),(137728125+0j)
33,(0.000516655680258+0j),(137730566.406+0j)
34,(0.000595050514676+0j),(137733007.812+0j)
35,(0.000569794734474+0j),(137735449.219+0j)
36,(0.000620312232058+0j),(137737890.625+0j)
37,(0.000676131458022+0j),(137740332.031+0j)
38,(0.000306902860757+0j),(137742773.438+0j)
39,(0.000454021123005+0j),(137745214.844+0j)
40,(0.000675794493873+0j),(137747656.25+0j)
41,(0.000986675266176+0j),(137750097.656+0j)
42,(0.000714832858648+0j),(137752539.062+0j)
43,(0.000686392071657+0j),(137754980.469+0j)
44,(0.000266177084995+0j),(137757421.875+0j)
45,(0.000484494143166+0j),(137759863.281+0j)
46,(0.000409698463045+0j),(137762304.688+0j)
47,(0.000246895186137+0j),(137764746.094+0j)
48,(0.000493108178489+0j),(137767187.5+0j)
49,(0.000617303594481+0j),(137769628.906+0j)
50,(0.000459237809991+0j),(137772070.312+0j)
51,(0.000521222653333+0j),(137774511.719+0j)
52,(0.000706017715856+0j),(137776953.125+0j)
53,(0.000761121686082+0j),(137779394.531+0j)
54,(0.000740874209441+0j),(137781835.938+0j)
55,(0.000533423619345+0j),(137784277.344+0j)
56,(0.000579349580221+0j),(137786718.75+0j)
57,(0.000414128269767+0j),(137789160.156+0j)
58,(0.000232054444496+0j),(137791601.562+0j)
59,(0.000720889831427+0j),(137794042.969+0j)
60,(0.000578004808631+0j),(137796484.375+0j)
61,(0.000801627873443+0j),(137798925.781+0j)
62,(0.000233409984503+0j),(137801367.188+0j)
63,(0.000444084755145+0j),(137803808.594+0j)
64,(0.000395341689+0j),(137806250+0j)
65,(0.000585188972764+0j),(137808691.406+0j)
66,(0.000739004171919+0j),(137811132.812+0j)
67,(0.000559057109058+0j),(137813574.219+0j)
68,(0.000389053719118+0j),(137816015.625+0j)
69,(0.0006943277549+0j),(137818457.031+0j)
70,(0.000602223095484+0j),(137820898.438+0j)
71,(0.000369891524315+0j),(137823339.844+0j)
72,(0.00109178898856+0j),(137825781.25+0j)
73,(0.000620920851361+0j),(137828222.656+0j)
74,(0.000412135967053+0j),(137830664.062+0j)
75,(0.000450069434009+0j),(137833105.469+0j)
76,(0.000455653527752+0j),(137835546.875+0j)
77,(0.000571172102354+0j),(137837988.281+0j)
78,(0.000733908906113+0j),(137840429.688+0j)
79,(0.000383559934562+0j),(137842871.094+0j)
80,(0.00031886252691+0j),(137845312.5+0j)
81,(0.000607717782259+0j),(137847753.906+0j)
82,(0.000931894523092+0j),(137850195.312+0j)
83,(0.000600877625402+0j),(137852636.719+0j)
84,(0.000851222372148+0j),(137855078.125+0j)
85,(0.000720722309779+0j),(137857519.531+0j)
86,(0.000419511430664+0j),(137859960.938+0j)
87,(0.000359907106031+0j),(137862402.344+0j)
88,(0.000530914519913+0j),(137864843.75+0j)
89,(0.000596545578446+0j),(137867285.156+0j)
90,(0.000478515605209+0j),(137869726.562+0j)
91,(0.000425081292633+0j),(137872167.969+0j)
92,(0.000561756663956+0j),(137874609.375+0j)
93,(0.000244572322117+0j),(137877050.781+0j)
94,(0.000282817491097+0j),(137879492.188+0j)
95,(0.000504167459439+0j),(137881933.594+0j)
96,(0.000346148561221+0j),(137884375+0j)
97,(0.000627685687505+0j),(137886816.406+0j)
98,(0.000671968911774+0j),(137889257.812+0j)
99,(0.000709042593371+0j),(137891699.219+0j)
100,(0.000276709935861+0j),(137894140.625+0j)
101,(0.000694046611898+0j),(137896582.031+0j)
102,(0.000385248626117+0j),(137899023.438+0j)
103,(0.000660130986944+0j),(137901464.844+0j)
104,(0.000323156040395+0j),(137903906.25+0j)
105,(0.000238120745053+0j),(137906347.656+0j)
106,(0.000640671234578+0j),(137908789.062+0j)
107,(0.000330084556481+0j),(137911230.469+0j)
108,(0.000318993726978+0j),(137913671.875+0j)
109,(0.000700119475368+0j),(137916113.281+0j)
110,(0.000310427130898+0j),(137918554.688+0j)
111,(0.000563589099329+0j),(137920996.094+0j)
112,(0.000985369435512+0j),(137923437.5+0j)
113,(0.000567725859582+0j),(137925878.906+0j)
114,(0.000597088539507+0j),(137928320.312+0j)
115,(0.000626295397524+0j),(137930761.719+0j)
116,(0.000582127599046+0j),(137933203.125+0j)
117,(0.000968885724433+0j),(137935644.531+0j)
118,(0.000616950739641+0j),(137938085.938+0j)
119,(0.000490254489705+0j),(137940527.344+0j)
120,(0.000351868628059+0j),(137942968.75+0j)
121,(0.0007215818041+0j),(137945410.156+0j)
122,(0.000504398427438+0j),(137947851.562+0j)
123,(0.000550534576178+0j),(137950292.969+0j)
124,(0.000706348568201+0j),(137952734.375+0j)
125,(0.000675621151458+0j),(137955175.781+0j)
126,(0.000438308779849+0j),(137957617.188+0j)
127,(0.00072857568739+0j),(137960058.594+0j)
128,(0.000785797659773+0j),(137962500+0j)
129,(0.000448995822808+0j),(137964941.406+0j)
130,(0.000734596105758+0j),(137967382.812+0j)
131,(0.000228699675063+0j),(137969824.219+0j)
132,(0.000671458197758+0j),(137972265.625+0j)
133,(0.000572363322135+0j),(137974707.031+0j)
134,(0.000730877567548+0j),(137977148.438+0j)
135,(0.000320756458677+0j),(137979589.844+0j)
136,(0.000988102401607+0j),(137982031.25+0j)
137,(0.000283249595668+0j),(137984472.656+0j)
138,(0.000566700007766+0j),(137986914.062+0j)
139,(0.00107446208131+0j),(137989355.469+0j)
140,(0.000607158581261+0j),(137991796.875+0j)
141,(0.000665844301693+0j),(137994238.281+0j)
142,(0.000469940190669+0j),(137996679.688+0j)
143,(0.000447501341114+0j),(137999121.094+0j)
144,(0.000661960511934+0j),(138001562.5+0j)
145,(0.000519560533576+0j),(138004003.906+0j)
146,(0.000797775748651+0j),(138006445.312+0j)
147,(0.000400770426495+0j),(138008886.719+0j)
148,(0.00085096724797+0j),(138011328.125+0j)
