,0,1
0,(3.77505275537e-05+0j),(1926400000+0j)
1,(3.88971384382e-05+0j),(1926402441.41+0j)
2,(3.3656207961e-05+0j),(1926404882.81+0j)
3,(3.60551821359e-05+0j),(1926407324.22+0j)
4,(3.74671981263e-05+0j),(1926409765.62+0j)
5,(6.8659617682e-05+0j),(1926412207.03+0j)
6,(3.96778013965e-05+0j),(1926414648.44+0j)
7,(3.40130573022e-05+0j),(1926417089.84+0j)
8,(4.11532455473e-05+0j),(1926419531.25+0j)
9,(3.40910737577e-05+0j),(1926421972.66+0j)
10,(3.06654910673e-05+0j),(1926424414.06+0j)
11,(4.77999528812e-05+0j),(1926426855.47+0j)
12,(2.78316456388e-05+0j),(1926429296.88+0j)
13,(5.98274236836e-05+0j),(1926431738.28+0j)
14,(5.84438093938e-05+0j),(1926434179.69+0j)
15,(3.91088397009e-05+0j),(1926436621.09+0j)
16,(5.857080032e-05+0j),(1926439062.5+0j)
17,(5.09352285007e-05+0j),(1926441503.91+0j)
18,(2.4669623599e-05+0j),(1926443945.31+0j)
19,(3.3670974517e-05+0j),(1926446386.72+0j)
20,(4.32386805187e-05+0j),(1926448828.12+0j)
21,(3.85954190278e-05+0j),(1926451269.53+0j)
22,(4.86617464048e-05+0j),(1926453710.94+0j)
23,(4.68709004053e-05+0j),(1926456152.34+0j)
24,(5.43945279787e-05+0j),(1926458593.75+0j)
25,(2.95391600957e-05+0j),(1926461035.16+0j)
26,(3.75161034754e-05+0j),(1926463476.56+0j)
27,(8.66572008817e-05+0j),(1926465917.97+0j)
28,(3.2606676541e-05+0j),(1926468359.38+0j)
29,(1.8253136659e-05+0j),(1926470800.78+0j)
30,(3.10764226015e-05+0j),(1926473242.19+0j)
31,(1.6706828319e-05+0j),(1926475683.59+0j)
32,(3.37125820806e-05+0j),(1926478125+0j)
33,(3.07338341372e-05+0j),(1926480566.41+0j)
34,(3.86254687328e-05+0j),(1926483007.81+0j)
35,(3.30482253048e-05+0j),(1926485449.22+0j)
36,(2.61267377937e-05+0j),(1926487890.62+0j)
37,(5.96988866164e-05+0j),(1926490332.03+0j)
38,(3.28520291077e-05+0j),(1926492773.44+0j)
39,(3.68430046365e-05+0j),(1926495214.84+0j)
40,(2.59308690147e-05+0j),(1926497656.25+0j)
41,(4.59021321149e-05+0j),(1926500097.66+0j)
42,(4.89377234771e-05+0j),(1926502539.06+0j)
43,(4.25787802669e-05+0j),(1926504980.47+0j)
44,(4.2276991735e-05+0j),(1926507421.88+0j)
45,(6.90663073328e-05+0j),(1926509863.28+0j)
46,(2.81155025732e-05+0j),(1926512304.69+0j)
47,(1.51424010255e-05+0j),(1926514746.09+0j)
48,(3.78066724807e-05+0j),(1926517187.5+0j)
49,(5.1408620493e-05+0j),(1926519628.91+0j)
50,(2.49563563557e-05+0j),(1926522070.31+0j)
51,(2.82364126178e-05+0j),(1926524511.72+0j)
52,(3.69038789358e-05+0j),(1926526953.12+0j)
53,(4.20830474468e-05+0j),(1926529394.53+0j)
54,(3.27335801558e-05+0j),(1926531835.94+0j)
55,(4.85981727252e-05+0j),(1926534277.34+0j)
56,(4.79766822536e-05+0j),(1926536718.75+0j)
57,(7.84903750173e-05+0j),(1926539160.16+0j)
58,(4.35671245214e-05+0j),(1926541601.56+0j)
59,(4.5722037612e-05+0j),(1926544042.97+0j)
60,(2.85745245492e-05+0j),(1926546484.38+0j)
61,(3.56402415491e-05+0j),(1926548925.78+0j)
62,(3.31384362653e-05+0j),(1926551367.19+0j)
63,(2.16818043555e-05+0j),(1926553808.59+0j)
64,(3.56397213181e-05+0j),(1926556250+0j)
65,(6.12232543062e-05+0j),(1926558691.41+0j)
66,(3.14236385748e-05+0j),(1926561132.81+0j)
67,(2.54206588579e-05+0j),(1926563574.22+0j)
68,(6.69630608172e-05+0j),(1926566015.62+0j)
69,(7.74433210609e-05+0j),(1926568457.03+0j)
70,(3.20826729876e-05+0j),(1926570898.44+0j)
71,(4.19008683821e-05+0j),(1926573339.84+0j)
72,(5.23181042809e-05+0j),(1926575781.25+0j)
73,(5.00385285704e-05+0j),(1926578222.66+0j)
74,(4.53376705991e-05+0j),(1926580664.06+0j)
75,(3.45068474417e-05+0j),(1926583105.47+0j)
76,(3.28100795741e-05+0j),(1926585546.88+0j)
77,(5.05612551933e-05+0j),(1926587988.28+0j)
78,(3.17593221553e-05+0j),(1926590429.69+0j)
79,(2.52440186159e-05+0j),(1926592871.09+0j)
80,(2.57515857811e-05+0j),(1926595312.5+0j)
81,(3.75937233912e-05+0j),(1926597753.91+0j)
82,(3.13107630063e-05+0j),(1926600195.31+0j)
83,(5.48813841306e-05+0j),(1926602636.72+0j)
84,(8.2424012362e-05+0j),(1926605078.12+0j)
85,(4.53866014141e-05+0j),(1926607519.53+0j)
86,(4.50615443697e-05+0j),(1926609960.94+0j)
87,(3.05556459352e-05+0j),(1926612402.34+0j)
88,(3.4509699617e-05+0j),(1926614843.75+0j)
89,(5.64287729503e-05+0j),(1926617285.16+0j)
90,(5.23503767909e-05+0j),(1926619726.56+0j)
