,0,1
0,(9.39394376474e-05+0j),(747000000+0j)
1,(8.40643406264e-05+0j),(747002441.406+0j)
2,(6.32568408037e-05+0j),(747004882.812+0j)
3,(0.00015311165771+0j),(747007324.219+0j)
4,(3.84451668651e-05+0j),(747009765.625+0j)
5,(0.000100872035546+0j),(747012207.031+0j)
6,(0.000107239000499+0j),(747014648.438+0j)
7,(9.10356393433e-05+0j),(747017089.844+0j)
8,(8.58119601617e-05+0j),(747019531.25+0j)
9,(0.000168825688888+0j),(747021972.656+0j)
10,(0.00014219158038+0j),(747024414.062+0j)
11,(0.000118849515275+0j),(747026855.469+0j)
12,(0.000178318703547+0j),(747029296.875+0j)
13,(0.000111841960461+0j),(747031738.281+0j)
14,(7.08993029548e-05+0j),(747034179.688+0j)
15,(0.000120648284792+0j),(747036621.094+0j)
16,(0.000136611080961+0j),(747039062.5+0j)
17,(6.11356008449e-05+0j),(747041503.906+0j)
18,(0.00013037082681+0j),(747043945.312+0j)
19,(8.04871233413e-05+0j),(747046386.719+0j)
20,(0.000126582890516+0j),(747048828.125+0j)
21,(0.000195071348571+0j),(747051269.531+0j)
22,(0.000182750634849+0j),(747053710.938+0j)
23,(0.000107427615148+0j),(747056152.344+0j)
24,(0.000147305123392+0j),(747058593.75+0j)
25,(0.000143532670336+0j),(747061035.156+0j)
26,(0.00016297554248+0j),(747063476.562+0j)
27,(8.38933992782e-05+0j),(747065917.969+0j)
28,(7.51646439312e-05+0j),(747068359.375+0j)
29,(7.94107618276e-05+0j),(747070800.781+0j)
30,(0.000152880238602+0j),(747073242.188+0j)
31,(0.000161460702657+0j),(747075683.594+0j)
32,(8.44905007398e-05+0j),(747078125+0j)
33,(0.000114005968499+0j),(747080566.406+0j)
34,(0.000311360694468+0j),(747083007.812+0j)
35,(6.18020785623e-05+0j),(747085449.219+0j)
36,(0.000171505540493+0j),(747087890.625+0j)
37,(0.000106344879896+0j),(747090332.031+0j)
38,(0.000189734419109+0j),(747092773.438+0j)
39,(0.000326209003106+0j),(747095214.844+0j)
40,(0.000155524292495+0j),(747097656.25+0j)
41,(7.96628883108e-05+0j),(747100097.656+0j)
