,0,1
0,(0.000699535477906+0j),(147150000+0j)
1,(0.000508488621563+0j),(147152441.406+0j)
2,(0.000656471238472+0j),(147154882.812+0j)
3,(0.000669026689138+0j),(147157324.219+0j)
4,(0.00042429252062+0j),(147159765.625+0j)
5,(0.000435293797636+0j),(147162207.031+0j)
6,(0.000465097313281+0j),(147164648.438+0j)
7,(0.000610593997408+0j),(147167089.844+0j)
8,(0.000837138912175+0j),(147169531.25+0j)
9,(0.000809690274764+0j),(147171972.656+0j)
10,(0.000580523454119+0j),(147174414.062+0j)
11,(0.000584176857956+0j),(147176855.469+0j)
12,(0.000584360270295+0j),(147179296.875+0j)
13,(0.000585721165407+0j),(147181738.281+0j)
14,(0.000851102580782+0j),(147184179.688+0j)
15,(0.000418880954385+0j),(147186621.094+0j)
16,(0.000417715928052+0j),(147189062.5+0j)
17,(0.000872216827702+0j),(147191503.906+0j)
18,(0.0006862260052+0j),(147193945.312+0j)
19,(0.0003273387847+0j),(147196386.719+0j)
20,(0.000620051287115+0j),(147198828.125+0j)
21,(0.000609092763625+0j),(147201269.531+0j)
22,(0.000700648408383+0j),(147203710.938+0j)
23,(0.000583167944569+0j),(147206152.344+0j)
24,(0.000539609289262+0j),(147208593.75+0j)
25,(0.000496040214784+0j),(147211035.156+0j)
26,(0.000929927220568+0j),(147213476.562+0j)
27,(0.000457729736809+0j),(147215917.969+0j)
28,(0.000580867461395+0j),(147218359.375+0j)
29,(0.000298614351777+0j),(147220800.781+0j)
30,(0.0010447378736+0j),(147223242.188+0j)
31,(0.000536866602488+0j),(147225683.594+0j)
32,(0.000913166441023+0j),(147228125+0j)
33,(0.000710597261786+0j),(147230566.406+0j)
34,(0.000710586551577+0j),(147233007.812+0j)
35,(0.000725173798855+0j),(147235449.219+0j)
36,(0.000721213407815+0j),(147237890.625+0j)
37,(0.000671715883072+0j),(147240332.031+0j)
38,(0.000853345089126+0j),(147242773.438+0j)
39,(0.000593395787291+0j),(147245214.844+0j)
40,(0.000596640631557+0j),(147247656.25+0j)
41,(0.000883735483512+0j),(147250097.656+0j)
