,0,1
0,(4.2200765165e-05+0j),(592650000+0j)
1,(3.7252328184e-05+0j),(592652441.406+0j)
2,(7.54971333663e-05+0j),(592654882.812+0j)
3,(7.60526309023e-05+0j),(592657324.219+0j)
4,(3.10673494823e-05+0j),(592659765.625+0j)
5,(5.26464973518e-05+0j),(592662207.031+0j)
6,(0.000140357806231+0j),(592664648.438+0j)
7,(5.04574963998e-05+0j),(592667089.844+0j)
8,(5.70259726373e-05+0j),(592669531.25+0j)
9,(3.8064623368e-05+0j),(592671972.656+0j)
10,(5.49021242477e-05+0j),(592674414.062+0j)
11,(5.36411826033e-05+0j),(592676855.469+0j)
12,(7.56288281991e-05+0j),(592679296.875+0j)
13,(7.11748143658e-05+0j),(592681738.281+0j)
14,(6.76985946484e-05+0j),(592684179.688+0j)
15,(6.83615580783e-05+0j),(592686621.094+0j)
16,(1.86102934094e-05+0j),(592689062.5+0j)
17,(2.06167060242e-05+0j),(592691503.906+0j)
18,(4.45979821961e-05+0j),(592693945.312+0j)
19,(4.52537060482e-05+0j),(592696386.719+0j)
20,(0.000101899655419+0j),(592698828.125+0j)
21,(5.58497049497e-05+0j),(592701269.531+0j)
22,(3.86605970562e-05+0j),(592703710.938+0j)
23,(8.31187644508e-05+0j),(592706152.344+0j)
24,(6.69223227305e-05+0j),(592708593.75+0j)
25,(3.40870174114e-05+0j),(592711035.156+0j)
26,(2.70777600235e-05+0j),(592713476.562+0j)
27,(4.37293383584e-05+0j),(592715917.969+0j)
28,(4.70260165457e-05+0j),(592718359.375+0j)
29,(4.9165708333e-05+0j),(592720800.781+0j)
30,(5.28641030542e-05+0j),(592723242.188+0j)
31,(4.80771013827e-05+0j),(592725683.594+0j)
32,(0.000112153255031+0j),(592728125+0j)
33,(2.8410793675e-05+0j),(592730566.406+0j)
34,(5.66054113733e-05+0j),(592733007.812+0j)
35,(6.62181482767e-05+0j),(592735449.219+0j)
36,(7.18604642316e-05+0j),(592737890.625+0j)
37,(5.34718565177e-05+0j),(592740332.031+0j)
38,(6.97409850545e-05+0j),(592742773.438+0j)
39,(0.000107617393951+0j),(592745214.844+0j)
40,(7.66709563322e-05+0j),(592747656.25+0j)
41,(5.95066485403e-05+0j),(592750097.656+0j)
42,(7.18847077223e-05+0j),(592752539.062+0j)
43,(5.81362073717e-05+0j),(592754980.469+0j)
44,(7.84747171565e-05+0j),(592757421.875+0j)
45,(6.88163127052e-05+0j),(592759863.281+0j)
46,(3.83260157832e-05+0j),(592762304.688+0j)
47,(4.62163297925e-05+0j),(592764746.094+0j)
48,(4.07875413657e-05+0j),(592767187.5+0j)
49,(6.08479640505e-05+0j),(592769628.906+0j)
50,(4.73648906336e-05+0j),(592772070.312+0j)
51,(3.81176178053e-05+0j),(592774511.719+0j)
52,(7.80648042564e-05+0j),(592776953.125+0j)
53,(6.65939151077e-05+0j),(592779394.531+0j)
54,(4.83710864501e-05+0j),(592781835.938+0j)
55,(3.0568724469e-05+0j),(592784277.344+0j)
56,(0.000106729945401+0j),(592786718.75+0j)
57,(4.71585444757e-05+0j),(592789160.156+0j)
58,(9.37652803259e-05+0j),(592791601.562+0j)
59,(9.86277300399e-05+0j),(592794042.969+0j)
60,(3.83264559787e-05+0j),(592796484.375+0j)
61,(6.17219338892e-05+0j),(592798925.781+0j)
62,(6.54935502098e-05+0j),(592801367.188+0j)
63,(6.8038039899e-05+0j),(592803808.594+0j)
64,(8.50008946145e-05+0j),(592806250+0j)
65,(6.03104490438e-05+0j),(592808691.406+0j)
66,(7.58744427003e-05+0j),(592811132.812+0j)
67,(4.44213583251e-05+0j),(592813574.219+0j)
68,(9.1383306426e-05+0j),(592816015.625+0j)
69,(7.5978517998e-05+0j),(592818457.031+0j)
70,(8.08177646832e-05+0j),(592820898.438+0j)
71,(7.21680553397e-05+0j),(592823339.844+0j)
72,(5.92436044826e-05+0j),(592825781.25+0j)
73,(6.07335277891e-05+0j),(592828222.656+0j)
74,(2.55420636677e-05+0j),(592830664.062+0j)
75,(3.59704245056e-05+0j),(592833105.469+0j)
76,(5.51554148842e-05+0j),(592835546.875+0j)
77,(5.58541250939e-05+0j),(592837988.281+0j)
78,(3.63494946214e-05+0j),(592840429.688+0j)
79,(8.05638846941e-05+0j),(592842871.094+0j)
80,(6.9879941293e-05+0j),(592845312.5+0j)
81,(5.64328438486e-05+0j),(592847753.906+0j)
82,(3.85325038224e-05+0j),(592850195.312+0j)
83,(3.70307898265e-05+0j),(592852636.719+0j)
84,(3.38027311955e-05+0j),(592855078.125+0j)
85,(7.41714684409e-05+0j),(592857519.531+0j)
86,(5.42428933841e-05+0j),(592859960.938+0j)
87,(5.80523555982e-05+0j),(592862402.344+0j)
88,(8.83267057361e-05+0j),(592864843.75+0j)
89,(9.34309209697e-05+0j),(592867285.156+0j)
90,(5.76399397687e-05+0j),(592869726.562+0j)
91,(6.42277300358e-05+0j),(592872167.969+0j)
92,(0.000157966438564+0j),(592874609.375+0j)
93,(5.54633115826e-05+0j),(592877050.781+0j)
94,(5.23460221302e-05+0j),(592879492.188+0j)
95,(5.66859198443e-05+0j),(592881933.594+0j)
96,(6.53396709822e-05+0j),(592884375+0j)
97,(4.03300437029e-05+0j),(592886816.406+0j)
98,(6.81468518451e-05+0j),(592889257.812+0j)
99,(2.52322442975e-05+0j),(592891699.219+0j)
100,(7.43099590181e-05+0j),(592894140.625+0j)
101,(4.10499851569e-05+0j),(592896582.031+0j)
102,(5.82582215429e-05+0j),(592899023.438+0j)
103,(3.9920782001e-05+0j),(592901464.844+0j)
104,(4.55550725746e-05+0j),(592903906.25+0j)
105,(9.67543383013e-05+0j),(592906347.656+0j)
106,(7.67751043895e-05+0j),(592908789.062+0j)
107,(4.89041449327e-05+0j),(592911230.469+0j)
108,(8.0974168668e-05+0j),(592913671.875+0j)
109,(3.81524405384e-05+0j),(592916113.281+0j)
110,(4.2627176299e-05+0j),(592918554.688+0j)
111,(4.8746853281e-05+0j),(592920996.094+0j)
112,(7.95221785665e-05+0j),(592923437.5+0j)
113,(5.725966912e-05+0j),(592925878.906+0j)
114,(0.000101976984297+0j),(592928320.312+0j)
115,(8.70525400387e-05+0j),(592930761.719+0j)
116,(8.48613199196e-05+0j),(592933203.125+0j)
117,(8.04904047982e-05+0j),(592935644.531+0j)
118,(5.41493209312e-05+0j),(592938085.938+0j)
119,(8.40466891532e-05+0j),(592940527.344+0j)
120,(8.36180988699e-05+0j),(592942968.75+0j)
121,(0.000122960002045+0j),(592945410.156+0j)
122,(0.00128138333093+0j),(592947851.562+0j)
123,(0.000344715866959+0j),(592950292.969+0j)
124,(0.000122470213682+0j),(592952734.375+0j)
125,(0.000158574199304+0j),(592955175.781+0j)
126,(7.72235216573e-05+0j),(592957617.188+0j)
127,(4.17018418375e-05+0j),(592960058.594+0j)
128,(6.13937008893e-05+0j),(592962500+0j)
129,(0.000122205077787+0j),(592964941.406+0j)
130,(0.000111970650323+0j),(592967382.812+0j)
131,(4.84730371682e-05+0j),(592969824.219+0j)
132,(6.4819410909e-05+0j),(592972265.625+0j)
133,(4.33994973719e-05+0j),(592974707.031+0j)
134,(0.0001456248865+0j),(592977148.438+0j)
135,(0.000110494736873+0j),(592979589.844+0j)
136,(5.9406265791e-05+0j),(592982031.25+0j)
137,(8.89766452019e-05+0j),(592984472.656+0j)
138,(7.29982421035e-05+0j),(592986914.062+0j)
139,(9.13684052648e-05+0j),(592989355.469+0j)
140,(8.0900012108e-05+0j),(592991796.875+0j)
141,(8.23729424155e-05+0j),(592994238.281+0j)
142,(9.66594016063e-05+0j),(592996679.688+0j)
143,(0.000109320637421+0j),(592999121.094+0j)
144,(8.73215030879e-05+0j),(593001562.5+0j)
145,(4.24161698902e-05+0j),(593004003.906+0j)
146,(5.21924739587e-05+0j),(593006445.312+0j)
147,(4.21015065513e-05+0j),(593008886.719+0j)
148,(3.66403692169e-05+0j),(593011328.125+0j)
149,(4.42545460828e-05+0j),(593013769.531+0j)
150,(8.0670157331e-05+0j),(593016210.938+0j)
151,(4.73495601909e-05+0j),(593018652.344+0j)
152,(6.41349688522e-05+0j),(593021093.75+0j)
153,(8.52385346661e-05+0j),(593023535.156+0j)
154,(6.73535250826e-05+0j),(593025976.562+0j)
155,(7.14114503353e-05+0j),(593028417.969+0j)
156,(7.27144433768e-05+0j),(593030859.375+0j)
157,(5.48702955712e-05+0j),(593033300.781+0j)
158,(7.39417300792e-05+0j),(593035742.188+0j)
159,(0.000107645173557+0j),(593038183.594+0j)
160,(3.95792849304e-05+0j),(593040625+0j)
161,(7.62851705076e-05+0j),(593043066.406+0j)
162,(0.000134064117447+0j),(593045507.812+0j)
163,(7.11822140147e-05+0j),(593047949.219+0j)
164,(5.77149621677e-05+0j),(593050390.625+0j)
165,(8.01912683528e-05+0j),(593052832.031+0j)
166,(7.1747614129e-05+0j),(593055273.438+0j)
167,(4.67392092105e-05+0j),(593057714.844+0j)
168,(9.30144597078e-05+0j),(593060156.25+0j)
169,(7.30682295398e-05+0j),(593062597.656+0j)
170,(8.88251088327e-05+0j),(593065039.062+0j)
171,(6.03778280492e-05+0j),(593067480.469+0j)
172,(8.5541018052e-05+0j),(593069921.875+0j)
173,(5.30810211785e-05+0j),(593072363.281+0j)
174,(5.52546844119e-05+0j),(593074804.688+0j)
175,(6.58983553876e-05+0j),(593077246.094+0j)
176,(6.24884414719e-05+0j),(593079687.5+0j)
177,(0.000125510749058+0j),(593082128.906+0j)
178,(4.72528736282e-05+0j),(593084570.312+0j)
179,(6.51763548376e-05+0j),(593087011.719+0j)
180,(0.000119970398373+0j),(593089453.125+0j)
181,(3.72971953766e-05+0j),(593091894.531+0j)
182,(9.60568577284e-05+0j),(593094335.938+0j)
183,(0.000132088767714+0j),(593096777.344+0j)
184,(6.17975747446e-05+0j),(593099218.75+0j)
185,(6.61829835735e-05+0j),(593101660.156+0j)
186,(6.7758235673e-05+0j),(593104101.562+0j)
187,(7.83239665907e-05+0j),(593106542.969+0j)
188,(4.69336664537e-05+0j),(593108984.375+0j)
189,(5.84701811022e-05+0j),(593111425.781+0j)
190,(4.90468228236e-05+0j),(593113867.188+0j)
191,(0.000102064812381+0j),(593116308.594+0j)
