,0,1
0,6.51508671581e-05,1983400000.0
1,6.24790554866e-05,1983402441.41
2,4.43505996373e-05,1983404882.81
3,1.27087278088e-05,1983407324.22
4,6.57162891002e-05,1983409765.62
5,5.18785309396e-05,1983412207.03
6,4.04612110287e-05,1983414648.44
7,8.36004401208e-05,1983417089.84
8,2.70527143584e-05,1983419531.25
9,3.86456122214e-05,1983421972.66
10,2.70865639322e-05,1983424414.06
11,1.81955747394e-05,1983426855.47
12,3.34952237608e-05,1983429296.88
13,4.89910744363e-05,1983431738.28
14,4.19579919253e-05,1983434179.69
15,3.31748124154e-05,1983436621.09
16,4.13856359955e-05,1983439062.5
17,5.21917681908e-05,1983441503.91
18,5.00654168718e-05,1983443945.31
19,3.47485001839e-05,1983446386.72
20,4.9355734518e-05,1983448828.12
21,4.99220986967e-05,1983451269.53
22,3.82599209843e-05,1983453710.94
23,5.7197525166e-05,1983456152.34
24,3.31138471665e-05,1983458593.75
25,4.16921684518e-05,1983461035.16
26,8.10454293969e-05,1983463476.56
27,7.09309315425e-05,1983465917.97
28,3.65111627616e-05,1983468359.38
29,3.52004790329e-05,1983470800.78
30,5.36067163921e-05,1983473242.19
31,5.53976278752e-05,1983475683.59
32,2.54017413681e-05,1983478125.0
33,3.42724124494e-05,1983480566.41
34,3.04023378703e-05,1983483007.81
35,4.21138829552e-05,1983485449.22
36,4.09583190049e-05,1983487890.62
37,4.11814035033e-05,1983490332.03
38,3.23307504004e-05,1983492773.44
39,3.87999716622e-05,1983495214.84
40,2.69913525699e-05,1983497656.25
41,4.55521731055e-05,1983500097.66
42,4.65544362669e-05,1983502539.06
43,4.83947951579e-05,1983504980.47
44,5.71597047383e-05,1983507421.88
45,2.23410352191e-05,1983509863.28
46,4.23484925705e-05,1983512304.69
47,4.6882625611e-05,1983514746.09
48,4.61290728708e-05,1983517187.5
49,5.70510201214e-05,1983519628.91
50,3.49084366462e-05,1983522070.31
51,2.58947566181e-05,1983524511.72
52,6.21812432655e-05,1983526953.12
53,5.81685490033e-05,1983529394.53
54,5.29371718585e-05,1983531835.94
55,3.73042239517e-05,1983534277.34
56,8.30518547446e-05,1983536718.75
57,2.62978646788e-05,1983539160.16
58,5.07057120558e-05,1983541601.56
59,2.38698903559e-05,1983544042.97
60,3.69593908545e-05,1983546484.38
61,7.73001956986e-05,1983548925.78
62,4.38510105596e-05,1983551367.19
63,3.39080288541e-05,1983553808.59
64,2.00480517378e-05,1983556250.0
65,3.1648309232e-05,1983558691.41
66,2.99477251247e-05,1983561132.81
67,5.05678035552e-05,1983563574.22
68,5.20022658748e-05,1983566015.62
69,5.77693353989e-05,1983568457.03
70,6.2428698584e-05,1983570898.44
71,2.36381729337e-05,1983573339.84
72,2.16394219024e-05,1983575781.25
73,4.93552761327e-05,1983578222.66
74,5.5384098232e-05,1983580664.06
75,4.3519630708e-05,1983583105.47
